Stakeholder,Detailed Description,RevenuesInMillion,RevenueChange,ProfitsInMillon,AssetsInMillion,ProfitChange,TotalEmployees,MetaIndustry,MetaPreviousRank,MetaRank,CEO,Sector,Industry,LocationHeadquater,WebsiteURL,YearsOnGlobal500List,TotalStakeholderEquity,ProfitAsPercentageRevenue,ProfitAsPercentageAsset,ProfitAsPercentageStockHolderEquity
LG Electronics,"LG Electronics Inc. is a South Korean multinational electronics company headquartered in Yeouido-dong, Seoul, South Korea, and is part of LG Corporation, employing 82,000 people working in 119 local subsidiaries worldwide.",47712,-4.6,66.2,31348,-39.8,75000,"Electronics, Electrical Equip.",180,201,Seong-Jin Jo,Technology,"Electronics, Electrical Equip.","Seoul, South Korea",http://www.lg.com,17,9926,9926,0.2,0.7
Sumitomo Mitsui Financial Group,"Sumitomo Mitsui Financial Group, Inc. is a Japanese bank holding / financial services company established by Sumitomo Mitsui Banking Corporation, the second largest bank in Japan by market value.",47375,19.2,6520.5,1775349,21,77205,Banks: Commercial and Savings,243,202,Takeshi Kunibe,Financial Sector,Banks: Commercial and Savings,"Tokyo, Japan",http://www.smfg.co.jp,23,72876,72876,0.4,8.9
Reliance Industries,"Reliance Industries Limited is an Indian conglomerate holding company headquartered in Mumbai, Maharashtra, India. Reliance owns businesses across India engaged in energy, petrochemicals, textiles, natural resources, retail, and telecommunications.",46931,8,4458.9,108856,5.6,140483,Petroleum Refining,215,203,Mukesh D. Ambani,Energy,Petroleum Refining,"Mumbai, India",http://www.ril.com,14,40614,40614,4.1,11
China Baowu Steel Group,"China Baowu Steel Group Corp., Ltd., commonly referred to as Baowu Steel, is a state-owned iron and steel company headquartered in the Baosteel Tower in Pudong, Shanghai, China.",46606,-11.5,442.8,106725,,169344,Metals,275,204,Ma Guoqiang,Materials,Metals,"Shanghai, China",http://www.baowugroup.com,14,35728,35728,0.4,1.2
Noble Group,Noble Group Limited is a commodities trader across a range of industrial and energy products. The company is incorporated in Bermuda and is listed in Singapore. Noble is in financial distress after defaulting on its financial obligations.,46528,-30.3,8.7,12285,,1000,Trading,116,205,William J. Randall,Wholesalers & Retailers,Trading,"Hong Kong, China",http://www.thisisnoble.com,10,3974,3974,0.1,0.2
Anheuser-Busch InBev,"Anheuser-Busch InBev SA/NV is a multinational drink and brewing holdings company based in Leuven, Belgium. Additional main offices are located in New York City, London, St. Louis, Mexico City, Bremen, Johannesburg and others.",45905,5.3,1241,258381,-85,206633,Beverages,211,206,Carlos Brito,"Food, Beverages & Tobacco",Beverages,"Leuven, Belgium",http://www.ab-inbev.com,12,71339,71339,0.5,1.7
Statoil,"Equinor ASA is a Norwegian multinational energy company headquartered in Stavanger, Norway. It is a petroleum and wind energy company with operations in thirty-six countries",45873,-23.4,-2902,104530,,20539,Petroleum Refining,145,207,Eldar Saetre,Energy,Petroleum Refining,"Stavanger, Norway",http://www.statoil.com,23,35072,35072,-2.8,-8.3
POSCO,"POSCO is a South Korean steel-making company headquartered in Pohang, South Korea. It had an output of 42 million tonnes of crude steel in 2015, making it the world's fourth-largest steelmaker by this measure.",45621,-11.8,1167.5,66361,669.8,31768,Metals,173,208,Oh-Joon Kwon,Materials,Metals,"Seoul, South Korea",http://www.posco.com,23,35057,35057,1.8,3.3
Kia Motors,"Kia Motors Corporation, commonly known as Kia Motors, headquartered in Seoul, is South Korea's second-largest automobile manufacturer, following the Hyundai Motor Company, with sales of over 3.3 million vehicles in 2015.",45425,3.7,2373.8,42141,2,51357,Motor Vehicles and Parts,208,209,Hyoung-Keun Lee,Transportation,Motor Vehicles and Parts,"Seoul, South Korea",http://www.kia.com,6,22010,22010,5.6,10.8
Orange,"Orange S.A., formerly France Telecom S.A., is a French multinational telecommunications corporation. It has 256 million customers worldwide and employs 95,000 people in France, and 59,000 elsewhere.",45249,1.3,3245.7,99840,10.3,155202,Telecommunications,204,210,Stephane Richard,Telecommunications,Telecommunications,"Paris, France",http://www.orange.com,23,32365,32365,3.3,10
Industrial & Commercial Bank of China,"Industrial and Commercial Bank of China Limited is a Chinese multinational banking company. It is the largest bank in China, and the largest bank in the world by total assets, deposits, loans, number of customers and number of employees.",147675,-11.7,41883.9,3473238,-5,461749,Banks: Commercial and Savings,15,22,Gu Shu,Financial Sector,Banks: Commercial and Savings,"Beijing, China",http://www.icbc-ltd.com,19,283438,283438,1.2,14.8
ChemChina,"China National Chemical Corporation, commonly known as ChemChina, is a Chinese state-owned chemical company in the product segments of agrochemicals, rubber products, chemical materials and specialty chemicals, industrial equipment, and petrochemical processing.",45177,9.1,17.9,54341,,110614,Chemicals,234,211,Ren Jianxin,Industrial Sector,Chemicals,"Beijing, China",http://www.chemchina.com,7,3462,3462,,0.5
Deutsche Bahn,"Deutsche Bahn AG is a German railway company. Headquartered in Berlin, it is a private joint-stock company, with the Federal Republic of Germany being its single shareholder.",44850,0.1,768.6,59716,,306368,Railroads,203,212,Richard Lutz,Transportation,Railroads,"Berlin, Germany",http://www.deutschebahn.com,23,13246,13246,1.3,5.8
Continental,"Continental AG, commonly known as Continental, is a German automotive manufacturing company specializing in, brake systems, interior electronics, automotive safety, powertrain and chassis components, tachographs, tires and other parts for the automotive and transportation industries.",44842,3,3099.1,38151,2.4,220137,Motor Vehicles and Parts,213,213,Elmar Degenhart,Transportation,Motor Vehicles and Parts,"Hanover, Germany",http://www.continental-corporation.com,15,15050,15050,8.1,20.6
HCA Holdings,HCA Healthcare is an American for-profit operator of health care facilities that was founded in 1968.,44747,2.7,2890,33758,35.7,210500,Health Care: Medical Facilities,212,214,R. Milton Johnson,Health Care,Health Care: Medical Facilities,"Nashville, TN",http://www.hcahealthcare.com,23,-7302,-7302,8.6,
Itochu,"Itochu Corporation is a Japanese corporation based in Umeda, Kita-ku, Osaka and Aoyama, Minato, Tokyo.Itochu is one of the largest Japanese sogo shosha.",44654,5.5,3250.6,72902,62.3,110207,Trading,223,215,Masahiro Okafuji,Wholesalers & Retailers,Trading,"Osaka, Japan",http://www.itochu.co.jp,23,21559,21559,4.5,15.1
China Merchants Bank,"China Merchants Bank is a Chinese bank headquartered in Futian District, Shenzhen, Guangdong, China. Founded in 1987, it is the first share-holding commercial bank wholly owned by corporate legal entities in China.",44552,-8.1,9344.8,855070,1.8,70461,Banks: Commercial and Savings,189,216,Tian Huiyu,Financial Sector,Banks: Commercial and Savings,"Shenzhen, China",http://www.cmbchina.com,6,57896,57896,1.1,16.1
State Bank of India,"The State Bank of India is an Indian multinational, public Sector banking and financial services statutory body. It is a government corporation statutory body headquartered in Mumbai, Maharashtra.",44533,6.8,36,530590,-98.1,278872,Banks: Commercial and Savings,232,217,Arundhati Bhattacharya,Financial Sector,Banks: Commercial and Savings,"Mumbai, India",http://www.sbi.co.in,12,33450,33450,,0.1
Woolworths,"Woolworths Supermarkets is an Australian supermarket/grocery store chain owned by Woolworths Limited. Founded in 1924, Woolworths along with Coles forms a near-duopoly of Australian supermarkets accounting for about 80% of the Australian market.",43925,-13.2,-898.3,17495,-150.3,205000,Food and Drug Stores,176,218,Brad Banducci,Health Care,Food and Drug Stores,"Bella Vista, Australia",http://www.woolworthslimited.com.au,21,6305,6305,-5.1,-14.2
KDDI,"KDDI Corporation is a Japanese telecommunications operator formed in October 1, 2000 through the merger of DDI Corp., KDD Corp., and IDO Corp. It has its headquarters in the Garden Air Tower in Iidabashi, Chiyoda, Tokyo.KDDI provides mobile cellular services using the au by KDDI"" brand. """,43822,17.8,5045.1,56223,22.5,35032,Telecommunications,271,219,Takashi Tanaka,Telecommunications,Telecommunications,"Tokyo, Japan",http://www.kddi.com,20,31904,31904,9,15.8
Swiss Re,"Swiss Reinsurance Company Ltd, generally known as Swiss Re, is a reinsurance company based in Zurich, Switzerland. It is the world‚ second-largest reinsurer. It acquired GE Insurance Solutions in 2006. Founded in 1863, Swiss Re operates through offices in more than 25 countries. Swiss Re was ranked 118th in Forbes 2000 Global leading companies 2016. It was also ranked 313th in Fortune Global 500 in 2015.",43786,22.6,3558,215065,-22.6,14053,Insurance: Property and Casualty (Stock),282,220,Christian Mumenthaler,Financial Sector,Insurance: Property and Casualty (Stock),"Zurich, Switzerland",http://www.swissre.com,23,35634,35634,1.7,10
AmerisourceBergen,AmerisourceBergen Corporation is an American drug wholesale company that was formed by the merger of Bergen Brunswig and AmeriSource in 2001.,146850,8,1427.9,33656,,18500,Wholesalers: Health Care,28,23,Steven H. Collis,Wholesalers & Retailers,Wholesalers: Health Care,"Chesterbrook, PA",http://www.amerisourcebergen.com,18,2129,2129,4.2,67.1
HBIS Group,"Hesteel Group Company Limited is a Chinese iron and steel manufacturing conglomerate, also known as Hesteel Group or its pinyin shortname Hegang.",43769,-3.3,-146.8,51858,,125552,Metals,201,221,Yu Yong,Materials,Metals,"Shijiazhuang, China",http://www.hbisco.com,9,7693,7693,-0.3,-1.9
CEFC China Energy,CEFC China Energy is a private Chinese conglomerate. With revenue of 263 billion CNY in 2014 the company is among the 10 largest private companies in China.,43743,4.5,740.9,22578,22.8,29637,Energy,229,222,Chan Chauto,Energy,Energy,"Shanghai, China",http://www.cefc.co,4,3916,3916,3.3,18.9
Banco Bilbao Vizcaya Argentaria,"Banco Bilbao Vizcaya Argentaria, S.A., better known by its initialism BBVA, is a multinational Spanish banking group based in Madrid and Bilbao.",43698,1.7,3842.8,771837,31.1,134792,Banks: Commercial and Savings,219,223,Carlos Torres Vila,Financial Sector,Banks: Commercial and Savings,"Bilbao, Spain",http://www.bbva.com,23,49952,49952,0.5,7.7
ThyssenKrupp,thyssenkrupp AG is a German multinational conglomerate with focus on industrial engineering and steel production. The company is based in Duisburg and Essen and divided into 670 subsidiaries worldwide.,43589,-11,328.6,39411,-7.1,156487,Metals,184,224,Heinrich Hiesinger,Materials,Metals,"Essen, Germany",http://www.thyssenkrupp.com,23,2362,2362,0.8,13.9
Saint-Gobain,"Compagnie de Saint-Gobain S.A. is a French multinational corporation, founded in 1665 in Paris and headquartered on the outskirts of Paris, at The Defense and in Courbevoie.",43231,-6.4,1449.8,46158,0.9,172696,"Building Materials, Glass",196,225,Pierre-Andre de Chalendar,Materials,"Building Materials, Glass","Courbevoie, France",http://www.saint-gobain.com,23,19790,19790,3.1,7.3
Lenovo Group,"Lenovo Group Ltd. or Lenovo PC International, often shortened to Lenovo, is a multinational technology company with headquarters in Beijing, China, and Morrisville, North Carolina, United States.",43035,-4.2,535.1,27186,,52000,"Computers, Office Equipment",202,226,Yang Yuanqing,Technology,"Computers, Office Equipment","Hong Kong, China",http://www.lenovo.com,8,3224,3224,2,16.6
Vinci,"Vinci, corporately styled VINCI, is a French concessions and construction company founded in 1899 as General Company of Companies.",42771,-1.9,2770.1,71642,22.1,183487,"Engineering, Construction",210,227,Xavier Huillard,Engineering & Construction,"Engineering, Construction","Rueil-Malmaison, France",http://www.vinci.com,17,17365,17365,3.9,16
Nippon Steel & Sumitomo Metal,"Nippon Steel & Sumitomo Metal Corporation, was formed in 2012 with the merger of Nippon Steel and Sumitomo Metal.",42757,4.6,1208.5,65182,-0.2,100169,Metals,238,228,Kosei Shindo,Materials,Metals,"Tokyo, Japan",http://www.nssmc.com,23,23555,23555,1.9,5.1
Bunge,"Bunge Limited is an American agribusiness and food company, incorporated in Bermuda, and headquartered in White Plains, New York, United States.",42679,-1.8,745,19188,-5.8,32000,Food Production,214,229,Soren W. Schroder,"Food, Beverages & Tobacco",Food Production,"White Plains, NY",http://www.bunge.com,15,7144,7144,3.9,10.4
Industrial Bank,"The Industrial Bank Co., Ltd. is a commercial bank based in Fuzhou, Fujian province of the People's Republic of China.",42622,-8.2,8105.9,875731,1.5,56236,Banks: Commercial and Savings,195,230,Tao Yiping,Financial Sector,Banks: Commercial and Savings,"Fuzhou, China",http://www.cib.com.cn,5,50382,50382,0.9,16.1
China State Construction Engineering,"The China State Construction Engineering Corporation is the largest construction company in the world by revenue and the 14th largest general contractor in terms of overseas sales, as of 2016.",144505,3.1,2492.9,201269,10.7,263915,"Engineering, Construction",27,24,Guan Qing,Engineering & Construction,"Engineering, Construction","Beijing, China",http://www.cscec.com,6,15344,15344,1.2,16.2
E.ON,"E.ON SE is a European holding company based in Essen, North Rhine-Westphalia, Germany. It runs one of the world's largest investor-owned electric utility service providers. The name comes from the Greek word aeon which means age.",42213,-67.3,-9344.4,67179,,43138,Energy,32,231,Johannes Teyssen,Energy,Energy,"Essen, Germany",http://www.eon.com,23,-1113,-1113,-13.9,
Sberbank,"PJSC Sberbank is a state-owned Russian banking and financial services company headquartered in Moscow. The company was known as Sberbank of Russia"" until 2015. Sberbank has operations in several European and post-Soviet countries. """,42159,-7.6,8078,415730,121,325075,Banks: Commercial and Savings,199,232,Herman O. Gref,Financial Sector,Banks: Commercial and Savings,"Moscow, Russia",http://www.sberbank.ru,10,46182,46182,1.9,17.5
China Shipbuilding Industry,"The China Shipbuilding Industry Corporation is one of the two largest shipbuilding conglomerates in China, the other being the China State Shipbuilding Corporation.",42149,17,485.8,69621,-62.9,182129,Industrial Machinery,281,233,Hu Wenming,Industrial Sector,Industrial Machinery,"Beijing, China",http://www.csic.com.cn,7,17789,17789,0.7,2.7
Christian Dior,"Christian Dior SE, commonly known as Dior, is a European luxury goods company controlled and chaired by French businessman Bernard Arnault, who also heads LVMH, the world's largest luxury group.",42113,0.5,1740.3,69870,-38.7,120479,Apparel,228,234,Sidney Toledano,Wholesalers & Retailers,Apparel,"Paris, France",http://www.dior-finance.com,17,12293,12293,2.5,14.2
Coca-Cola,"The Coca-Cola Company is an American corporation, and manufacturer, retailer, and marketer of nonalcoholic beverage concentrates and syrups.",41863,-5.5,6527,87270,-11.2,100300,Beverages,206,235,James B. Quincey,"Food, Beverages & Tobacco",Beverages,"Atlanta, GA",http://www.coca-colacompany.com,23,23062,23062,7.5,28.3
Denso,"Denso Corporation is a global automotive components manufacturer headquartered in the city of Kariya, Aichi Prefecture, Japan.After becoming independent from Toyota Motors, it was founded as Nippon Denso Co. Ltd. in 1949.",41781,10.9,2377.6,46233,16.9,154493,Motor Vehicles and Parts,268,236,Koji Arima,Transportation,Motor Vehicles and Parts,"Kariya, Japan",http://www.denso.com,23,29735,29735,5.1,8
Fujitsu,"Fujitsu Ltd. is a Japanese multinational information technology equipment and services company headquartered in Tokyo, Japan. In 2015, it was the world's fourth-largest IT services provider measured by IT services revenue.",41620,5.4,816.7,28646,13,155069,Information Technology Services,248,237,Tatsuya Tanaka,Technology,Information Technology Services,"Tokyo, Japan",http://www.fujitsu.com,23,7910,7910,2.9,10.3
Guangzhou Automobile Industry Group,Guangzhou Automobile Industry Group Co Ltd is a Chinese state-owned joint stock holding company that owns several Chinese automakers.,41560,20.7,551.9,30267,10.8,75908,Motor Vehicles and Parts,303,238,Zeng Qinghong,Transportation,Motor Vehicles and Parts,"Guangzhou, China",http://www.gagc.com.cn,5,3791,3791,1.8,14.6
Wilmar International,"Wilmar International Limited founded in 1991, is Asia‚ leading agribusiness group. It ranks amongst the largest listed companies by market capitalisation on the Singapore Exchange, being the second largest as of September 2010.",41402,6.8,972.2,37032,-7.9,90000,Food Production,254,239,Kuok Khoon Hong,"Food, Beverages & Tobacco",Food Production,Singapore,http://www.wilmar-international.com,9,14435,14435,2.6,6.7
Sanofi,"Sanofi S.A. is a French multinational pharmaceutical company headquartered in Paris, France, as of 2013 the world's fifth-largest by prescription sales.",41376,-0.2,5207.4,110390,9.5,113816,Pharmaceuticals,233,240,Olivier Brandicourt,Health Care,Pharmaceuticals,"Paris, France",http://www.sanofi.com,13,60698,60698,4.7,8.6
AXA,"AXA is a French multinational insurance firm headquartered in the 8th arrondissement of Paris that engages in global insurance, investment management, and other financial services.",143722,11.2,6446,941556,3.5,97707,"Insurance: Life, Health (stock)",33,25,Thomas Buberl,Financial Sector,"Insurance: Life, Health (stock)","Paris, France",http://www.axa.com,23,74454,74454,0.7,8.7
China United Network Communications,"China United Network Communications Group Co., Ltd. or China Unicom is a Chinese state-owned telecommunications operator of China. China Unicom is the world's fourth-largest mobile service provider by subscriber base.",41274,-6.4,23.2,88626,-95.8,253724,Telecommunications,207,241,Wang Xiaochu,Telecommunications,Telecommunications,"Beijing, China",http://www.chinaunicom-a.com,9,11152,11152,,0.2
Sumitomo Life Insurance,"Sumitomo Life Insurance Company is a mutual life insurance company in Japan, founded in 1907 and headquartered in Osaka.In 2005, the company announced a joint venture with the People's Insurance Company of China PICC Holdings Company.",40921,31.6,517.5,308346,-6.1,42245,"Insurance: Life, Health (Mutual)",335,242,Masahiro Hashimoto,Financial Sector,"Insurance: Life, Health (Mutual)","Osaka, Japan",http://www.sumitomolife.co.jp,23,8491,8491,0.2,6.1
New York Life Insurance,New York Life Insurance Company is the third-largest life insurance company in the United States,40787,-11.1,1088.1,287196,324.1,11320,"Insurance: Life, Health (Mutual)",198,243,Theodore A. Mathas,Financial Sector,"Insurance: Life, Health (Mutual)","New York, NY",http://www.newyorklife.com,23,20108,20108,0.4,5.4
Centene,Centene Corporation is a large publicly-traded company and a multi-line managed care enterprise that serves as a major intermediary for both government-sponsored and privately insured health care programs.,40721,78.6,562,20197,58.3,30500,Health Care: Insurance and Managed Care,470,244,Michael F. Neidorff,Health Care,Health Care: Insurance and Managed Care,"St. Louis, MO",http://www.centene.com,2,5895,5895,2.8,9.5
Shanghai Pudong Development Bank,"Shanghai Pudong Development Bank Co. Ltd incorporated on January 9, 1993 with the approval of the People's Bank of China, is a joint-stock commercial bank with its headquarters located in Shanghai.",40689,-3.2,7992.8,842832,-0.7,52832,Banks: Commercial and Savings,227,245,Gao Guofu,Financial Sector,Banks: Commercial and Savings,"Shanghai, China",http://www.spdb.com.cn,5,52946,52946,0.9,15.1
Hanwha,"Hanwha Group is one of the largest business conglomerates in South Korea. Founded in 1952 as Korea Explosives Co., the group has grown into a large multi-profile business conglomerate, with diversified holdings stretching from explosives, their original business, to retail to financial services.",40606,11,423.7,128247,,49000,"Insurance: Life, Health (stock)",277,246,Tae-Jong Lee,Financial Sector,"Insurance: Life, Health (stock)","Seoul, South Korea",http://www.hanwhacorp.co.kr,12,3650,3650,0.3,11.6
Tata Motors,"Tata Motors Limited is an Indian multinational automotive manufacturing company headquartered in Mumbai. It is a subsidiary of Tata Group, an Indian conglomerate.",40329,-4.2,1111.6,42162,-34,79558,Motor Vehicles and Parts,226,247,Guenter Butschek,Transportation,Motor Vehicles and Parts,"Mumbai, India",http://www.tatamotors.com,8,8942,8942,2.6,12.4
Aluminum Corp. of China,"Aluminum Corporation of China Limited, is a Chinese company listed in Hong Kong SAR and in New York. Multinational aluminium company headquartered in Beijing, People's Republic of China.",40278,6,-282.5,75089,,121146,Metals,262,248,Yu Dehui,Materials,Metals,"Beijing, China",http://www.chalco.com.cn,10,2669,2669,-0.4,-10.6
Mitsui,"Mitsui Group is one of the largest keiretsu in Japan and one of the largest corporate groups in the world. The major companies of the group include Mitsui & Co., Sumitomo Mitsui Banking Corporation, Sapporo Breweries, Toray Industries, Mitsui Chemicals, Isetan Mitsukoshi Holdings, Sumitomo Mitsui Trust Holdings, Mitsui Engineering &amp; Shipbuilding, Mitsui O.S.K.",40275,1.6,2825.3,103231,,42316,Trading,245,249,Tatsuo Yasunaga,Wholesalers & Retailers,Trading,"Tokyo, Japan",http://www.mitsui.com,23,33500,33500,2.7,8.4
Manulife Financial,"Manulife Financial Corporation is a Canadian multinational insurance company and financial services provider headquartered in Toronto, Ontario, Canada.",40238,49.4,2209.7,537461,28.9,34500,"Insurance: Life, Health (stock)",394,250,Donald A. Guloien,Financial Sector,"Insurance: Life, Health (stock)","Toronto, Ontario, Canada",http://www.manulife.com,15,31197,31197,0.4,7.1
Amazon.com,"Amazon.com, Inc., is an American multinational technology company based in Seattle, Washington that focuses in e-commerce, cloud computing, and artificial intelligence.",135987,27.1,2371,83402,297.8,341400,Internet Services and Retailing,44,26,Jeffrey P. Bezos,Technology,Internet Services and Retailing,"Seattle, WA",http://www.amazon.com,9,19285,19285,2.8,12.3
China Minsheng Banking,"China Minsheng Bank, founded on January 12, 1996, in Beijing, is the first bank in China to be owned mostly by non-government enterprises.",40234,-5.2,7201.6,848389,-1.8,58720,Banks: Commercial and Savings,221,251,Zheng Wanchun,Financial Sector,Banks: Commercial and Savings,"Beijing, China",http://www.cmbc.com.cn,5,49297,49297,0.8,14.6
China Pacific Insurance (Group),"China Pacific Insurance Co., Ltd. known as Pacific Insurance, is a Chinese insurance company. It was established on the basis of the former China Pacific Insurance Corporation, which was founded in 1991 approved by the People's Bank of China.",40193,2.2,1814.9,146873,-35.7,97032,"Insurance: Life, Health (stock)",251,252,Huo Lianhong,Financial Sector,"Insurance: Life, Health (stock)","Shanghai, China",http://www.cpic.com.cn,7,18960,18960,1.2,9.6
American Airlines Group,"American Airlines Group Inc. is an American publicly traded airline holding company headquartered in Fort Worth, Texas. It was formed December 9, 2013, in the merger of AMR Corporation, the parent company of American Airlines, and US Airways Group, the parent company of US Airways.",40180,-2,2676,51274,-64.8,122300,Airlines,236,253,W. Douglas Parker,Transportation,Airlines,"Fort Worth, TX",http://www.aa.com,23,3785,3785,5.2,70.7
Nationwide,"Nationwide Building Society is a British mutual financial institution, the seventh largest cooperative financial institution and the largest building society in the world with over 15 million members.",40074,-0.4,334.3,197790,-42.4,34320,Insurance: Property and Casualty (Mutual),241,254,Stephen S. Rasmussen,Financial Sector,Insurance: Property and Casualty (Mutual),"Columbus, OH",http://www.nationwide.com,23,15537,15537,0.2,2.2
Merck,"Merck & Co., Inc., d.b.a. Merck Sharp & Dohme outside the United States and Canada, is an American pharmaceutical company and one of the largest pharmaceutical companies in the world.",39807,0.8,3920,95377,-11.8,68000,Pharmaceuticals,246,255,Kenneth C. Frazier,Health Care,Pharmaceuticals,"Kenilworth, NJ",http://www.merck.com,23,40088,40088,4.1,9.8
Cigna,"Cigna is an American worldwide health services organization based in suburban Bloomfield, Connecticut and Philadelphia, Pennsylvania.",39668,4.7,1867,59360,-10.8,41000,Health Care: Insurance and Managed Care,264,256,David M. Cordani,Health Care,Health Care: Insurance and Managed Care,"Bloomfield, CT",http://www.cigna.com,22,13723,13723,3.1,13.6
Delta Air Lines,"Delta Air Lines, Inc., typically referred to as simply Delta, is a major American airline, with its headquarters in Atlanta, Georgia.",39639,-2.6,4373,51261,-3.4,83756,Airlines,239,257,Edward H. Bastian,Transportation,Airlines,"Atlanta, GA",http://www.delta.com,23,12287,12287,8.5,35.6
Best Buy,"Best Buy Co., Inc. is an American multinational consumer electronics retailer headquartered in Richfield, Minnesota. It was originally founded by Richard M. Schulze and James Wheeler in 1966 as an audio specialty store called Sound of Music.",39403,-0.9,1228,13856,36.9,125000,Specialty Retailers,244,258,Hubert B. Joly,Wholesalers & Retailers,Specialty Retailers,"Richfield, MN",http://www.bestbuy.com,19,4709,4709,8.9,26.1
China National Building Material Group,"China National Building Material Co., Ltd. or CNBM is a public traded company, engaging in cement, lightweight building materials, glass fiber and fibre-reinforced plastic products and engineering service businesses.",39323,24,74.5,81224,,228448,"Building Materials, Glass",327,259,Song Zhiping,Materials,"Building Materials, Glass","Beijing, China",http://www.cnbm.com.cn,7,5822,5822,0.1,1.3
Honeywell International,"Honeywell International Inc. is an American multinational conglomerate company that makes a variety of commercial and consumer products, engineering services and aerospace systems for a wide variety of customers, from private consumers to major corporations and governments.",39302,1.9,4809,54146,0.9,131000,"Electronics, Electrical Equip.",256,260,Darius Adamczyk,Technology,"Electronics, Electrical Equip.","Morris Plains, NJ",http://www.honeywell.com,23,19369,19369,8.9,24.8
Hon Hai Precision Industry,"Hon Hai Precision Industry Co., Ltd., trading as Foxconn Technology Group and better known as Foxconn, is a Taiwanese multinational electronics contract manufacturing company with its headquarters in Tucheng, New Taipei, Taiwan.",135129,-4.3,4608.8,80436,-0.4,726772,"Electronics, Electrical Equip.",25,27,Terry Gou,Technology,"Electronics, Electrical Equip.","New Taipei City, Taiwan",http://www.foxconn.com,13,33476,33476,5.7,13.8
JD.com,"JD.com, Inc., also known as Jingdong and formerly called 360buy, is a Chinese e-commerce company headquartered in Beijing. It is one of the two massive B2C online retailers in China by transaction volume and revenue, a member of the Fortune Global 500 and a major competitor to Alibaba-run Tmall.",39155,35.7,-573,23077,,120622,Internet Services and Retailing,366,261,Richard Qiangdong Liu,Technology,Internet Services and Retailing,"Beijing, China",http://www.jd.com,2,4877,4877,-2.5,-11.7
Mitsubishi Electric,"Mitsubishi Electric Corporation is a Japanese multinational electronics and electrical equipment manufacturing company headquartered in Tokyo, Japan. It is one of the core companies of Mitsubishi.",39119,6.9,1942.6,37519,2.1,138700,"Electronics, Electrical Equip.",276,262,Masaki Sakuyama,Technology,"Electronics, Electrical Equip.","Tokyo, Japan",http://www.mitsubishielectric.com,23,18307,18307,5.2,10.6
ZF Friedrichshafen,"ZF Friedrichshafen AG, also known as ZF Group, originally Zahnradfabrik Friedrichshafen, and commonly abbreviated to ZF, is a German car parts maker headquartered in Friedrichshafen, in the south-west German region of Baden-Wurttemberg.",38888,20.2,949.9,30719,-12.1,136820,Motor Vehicles and Parts,320,263,Stefan Sommer,Transportation,Motor Vehicles and Parts,"Friedrichshafen, Germany",http://www.zf.com,4,6134,6134,3.1,15.5
Caterpillar,"Caterpillar Inc. is an American Fortune 100 corporation which designs, develops, engineers, manufactures, markets and sells machinery, engines, financial products and insurance to customers via a worldwide dealer network.",38537,-18,-67,74704,-103.2,95400,Construction and Farm Machinery,194,264,D. James Umpleby III,Industrial Sector,Construction and Farm Machinery,"Peoria, IL",http://www.caterpillar.com,23,13137,13137,-0.1,-0.5
Liberty Mutual Insurance Group,"Liberty Mutual Group, more commonly known by the name of its primary line of business, Liberty Mutual Insurance, is an American diversified global insurer, and the fourth-largest property and casualty insurer in the United States.",38308,-2.9,1006,125592,95.7,50000,Insurance: Property and Casualty (Stock),249,265,David H. Long,Financial Sector,Insurance: Property and Casualty (Stock),"Boston, MA",http://www.libertymutual.com,23,20366,20366,0.8,4.9
Power Corp. of Canada,"Power Corporation of Canada is a Canadian multinational diversified management and holding company. Through its subsidiary Power Financial Corporation, it has interests in companies in the financial services sector in Canada, the United States and Europe.",38286,27.9,855.5,315387,-40.5,30259,"Insurance: Life, Health (stock)",351,266,Paul Desmarais Jr.,Financial Sector,"Insurance: Life, Health (stock)","Montreal, Quebec, Canada",http://www.powercorporation.com,19,10339,10339,0.3,8.3
Morgan Stanley,"Morgan Stanley is an American multinational investment bank and financial services company headquartered at 1585 Broadway in the Morgan Stanley Building, Midtown Manhattan, New York City.",37949,0.1,5979,814949,-2.4,55311,Banks: Commercial and Savings,263,267,James P. Gorman,Financial Sector,Banks: Commercial and Savings,"New York, NY",http://www.morganstanley.com,20,76050,76050,0.7,7.9
Hengli Group,"Hengli Group Co.,Ltd. manufactures textile. It engages in weaving and yarn manufacturing. The company was founded in 1994 and is based in Suzhou, China.",37880,12.2,821.7,14838,43.7,61400,Textiles,0,268,Chen Jianhua,Industrial Sector,Textiles,"Suzhou City, China",http://www.hengli.com,1,5498,5498,5.5,14.9
SSE,"SSE plc is a Scottish energy company headquartered in Perth, Scotland, United Kingdom. It is listed on the London Stock Exchange, and is a constituent of the FTSE 100 Index. SSE operates in United Kingdom and Ireland.",37813,-12.7,2082.9,29899,200.3,21157,Utilities,216,269,Alistair Phillips-Davies,Energy,Utilities,"Perth, Britain",http://www.sse.com,12,7842,7842,7,26.6
Massachusetts Mutual Life Insurance,"The Massachusetts Mutual Life Insurance Company, founded in 1851, is an American mutual life insurance company serving five million clients.",37788,-1.2,1273.5,271040,-10.6,11737,"Insurance: Life, Health (Mutual)",258,270,Roger W. Crandall,Financial Sector,"Insurance: Life, Health (Mutual)","Springfield, MA",http://www.massmutual.com,21,15424,15424,0.5,8.3
